word,example
"푸드 스탬프","코로나19로 미국에서 ‘푸드 스탬프’ 확대를 둘러싼 논란이 커지고 있다."
"푸드 코트","연휴에 대비해 푸드 코트 주방 설비의 가스 누출 여부를 점검했다."
"푸드 테크","푸드 테크, 비대면 건강관리 등 미래 산업 환경을 만들기 위해 노력한다."
"푸드 트럭","광장에 다양한 푸드 트럭들이 모여 있다."
"푸드 트립","해외 여행 대신 집에서 푸드 트립을 떠난다."
"푸드 페어링","푸드 페어링을 위해선 재료의 성질, 풍미, 무게감 등을 고려해야 한다."
"푸드 플랜","지역 농산물을 공급·소비하는 푸드 플랜을 구축했다."
"푸시 맨","90년대 지하철 1호선엔 푸시 맨이 있었다."
"푸시 버튼","차 안에서 간단한 푸시 버튼 점화 장치로 시동을 걸 수 있다."
"풀 라인업","2025년까지 11개 전기차 풀 라인업 구축을 목표로 하고 있다."
"풀 빌라","여름휴가 떠날 풀 빌라를 예약하기엔 이미 늦었다."
"풀 사이즈","풀 사이즈 마우스는 `편안한 사용감`을 중점으로 홍보를 하고 있다."
"풀 서비스","저비용 항공사 수준의 가격에 중장거리 풀 서비스를 제공한다."
"풀 스크린","카메라 구멍까지 없앤 풀 스크린 스마트폰으로 진화한다."
"풀 스토리","기자가 생생하게 취재한 수소차 개발 풀 스토리를 소개한다."
"풀 시드","올해 풀 시드를 받고 미국 무대에 뛰어든 신예 선수가 주목받고 있다."
"풀 시스템","취재단은 환영식, 회담 등 주요 일정을 풀 시스템으로 취재했다."
"풀 애니메이션","풀 애니메이션으로 구현된 전투 장면 등이 호평을 받았다."
"풀 옵션","냉장고·에어컨·세탁기까지 풀 옵션인 임대 주택을 소개했다."
"풀 체인지","디자인, 성능, 편의, 안전, 사양 등 풀 체인지급 변화가 있었다."
"풀가동","24시간 풀가동하는 마스크 공장에서 1초에 1개씩 마스크가 생산됐다."
"풀링 검사","코로나19 고위험 지역에 풀링 검사를 검토하고 있다."
"풀장","몰래 바닷물을 끌어 와 풀장에 사용한 펜션 업주들이 적발됐다."
"풀코스","풀코스 완주 후 손상된 근육은 3일 후 정상 수치로 돌아온다."
"풀필먼트","ㅇ기업은 풀필먼트 서비스를 넘어 물류 자문 사업에 손을 댔다."
"품질 관리 서클","한약 제제 분야 제조·품질 관리 서클에서 3차 회의를 개최했다."
"풋 백 옵션","기업 합병에 과도한 풋 백 옵션 규제를 검토한다."
"풋 액션","두 발끝이 모두 바깥으로 벌어지면 풋 액션이 불가능해진다."
"풋워크","빠른 풋워크로 상대를 제압하는 ‘한국형 펜싱’이 성과를 보이고 있다."
"퓨전","영산재에서 퓨전 음악까지 안방 1열에서 즐긴다."
"퓨처리즘","로봇과 함께한 퓨처리즘 패션 화보가 공개됐다."
"프라이","실제로 서양에서는 계란을 삶거나 프라이하는 식으로만 이용한다."
"프라이드","프라이드가 강한만큼 자기 자신에 대한 믿음이 굳건하다."
"프라이드 에그","아침에는 프라이드 에그 또는 감자 요리, 소시지나 베이컨 등을 먹는다."
"프라이머리","미국 유권자들이 프라이머리 투표장으로 향했다."
"프라이버시","전자 상거래 이용자들의 프라이버시 침해가 우려된다."
"프라이빗 룸","프라이빗 룸을 갖춘 식당들이 인기를 끌고 있다."
"프라이빗 뱅킹","초특급 부호를 위한 중국 은행의 프라이빗 뱅킹 서비스가 화제다."
"프라이빗 브랜드","가격이 저렴한 프라이빗 브랜드 상품을 판매하고 있다."
"프라이싱","최근 도입된 프라이싱 정책 때문이다."
"프라임 레이트","은행 대출의 기준 금리격인 프라임 레이트 인하가 가속화되고 있다."
"프라임 시간대","지상파 프라임 시간대 시청률이 무너지고 있다."
"프라임 타임","프라임 타임에 공익 광고를 확대하기로 결정했다."
"프락치","강제징집·프락치 강요 피해자들이 36년만에 '숨겨온 고통'을 꺼냈다."
"프랜차이저","한국 토종 프랜차이저 식당이 중국으로 진출했다."
"프랜차이즈","영업 시간 단축·포장 할인 등 커피 프랜차이즈들이 살길 찾기에 분주하다."
"프런트","호텔 프런트는 투숙객들을 위해 입구에서 눈에 가장 잘 띄는 곳에 둔다."
"프런트 데스크","호텔을 찾은 사람들은 프런트 데스크 직원을 가장 먼저 만나게 된다."
"프런티어","우리 경제의 기초 체력은 ‘프런티어 정신’으로 성장했다."
"프레스","이번 프레스 투어로 마포의 매력을 느낄 수 있었다."
"프레스 디펜스","프레스 디펜스는 상대보다 한 발 더 뛰어야 한다."
"프레스 콜","프레스 콜에 참석한 배우들이 열정적인 연기를 펼치고 있다."
"프레스 키트","대한민국 홍보용 프레스 키트에는 무엇이 들었는지 알아본다."
"프레스 투어","취재진들이 전시회 프레스 투어에서 작품을 감상하고 있다."
"프레싱","원단 프레싱과 재단 작업을 거친 후 봉제 작업에 들어간다."
"프레임","화가가 풍경을 그림으로 표현할 때는 먼저 프레임을 정한다."
"프레임워크","전자 의무 기록 프레임워크 개발 및 보급 사업을 추진한다."
"프레젠터","프레젠터가 능숙하게 기업 제안 설명회를 진행했다."
"프레젠테이션","게임 개발 대회 본선 경연은 각 팀의 프레젠테이션으로 진행되었다."
"프레젠트","창간 31주년 기념으로 특별 프레젠트를 마련했다."
"프레콘서트","대구 국제 오페라 축제 '프레콘서트'가 개최된다."
"프렌드쇼어링","내년에는 미·중 갈등과 국제 공급망 재편을 계기로 시작된 ‘프렌드쇼어링’이 더욱 강화될 것으로 봤다."
"프로갬블러","프로갬블러와 숨막히는 한판 승부를 펼쳤다."
"프로덕션","광고 프로덕션을 통해 수익을 만들고 창작 활동에 이를 투자했다."
"프로덕트 캐리어","수주 물량의 74%가 프로덕트 캐리어 선박이다."
"프로모션","현지 업체와 협업하여 한국 수산물을 알리는 다양한 프로모션을 진행한다."
"프로모터","현지 프로모터의 실수로 공연이 취소되었다."
"프로세서","더 강력한 인공 지능 프로세서를 탑재했다."
"프로세스","개방·협력으로 영업 프로세스를 개선한다."
"프로세싱","인공 지능 프로세싱의 핵심 장치인 그래픽 처리 장치를 생산한다."
"프로슈머","인터넷 시대가 열리면서 프로슈머의 숫자는 엄청나게 늘었다."
"프로젝트","청년 고용 응원 프로젝트로 채용 기회를 확대한다."
"프로젝트 파이낸싱","금융 당국이 부동산 프로젝트 파이낸싱 재구조화를 촉진하기 위해 금융 규제 완화 조치를 올해 연말까지 연장한다."
"프로텍터","포수 마스크와 프로텍터를 착용한 구심이 포수 뒤에 등장했다."
"프로토콜","해외 제품이든 국내 제품이든, 프로토콜만 맞추면 모두 연결해서 쓸 수 있다."
"프로토타입","음이온으로 비행하는 비행기 프로토타입을 개발했다."
"프로파간다","프로파간다를 위해 과학적 정보가 왜곡되는 일도 많다."
"프로파일러","프로파일러 면담 조사에서 피의자가 범행을 자백했다."
"프로파일링","프로파일링으로 범죄자의 심리적·행동적 특성을 분석한다."
"프로페셔널","높은 윤리 의식과 프로페셔널 의식을 갖고 일해야 한다."
"프로페셔널 골퍼","프로페셔널 골퍼와 함께 하면 왠지 잘 치고 싶은 욕심이 생긴다."
"프로포션","훌륭한 ‘옷발’의 조건은 프로포션이 아닌 감각이다."
"프로필","구직자의 프로필을 분석해 적합한 회사를 추천해준다."
"프론트 커버","이번 잡지의 프론트 커버엔 유명 아이돌이 등장한다."
"프롤레타리아","민족주의보다는 프롤레타리아의 시각에서 조선 독립을 바라봤다."
"프롤로그","저자는 프롤로그에서 한국 시사 만화의 역사를 훑는다."
"프롭테크","프롭테크가 부동산 산업 정보의 비대칭성을 해결한다."
"프리 로드","건강 관리 앱이 스마트폰에 프리 로드되어 출시됐다."
"프리 리스닝","신곡 프리 리스닝 영상을 공개했다."
"프리 배팅","선수가 프리 배팅 훈련을 하고 있다."
"프리 서버","게임산업협회가 프리 서버·불법 복제 근절에 나섰다."
"프리 스로","마지막 프리 스로 기회를 얻었지만 이미 점수는 25-31로 벌어졌다."
"프리 존","싱가포르, 스위스에는 드론 등 무인기 비행을 위한 프리 존이 있다."
"프리 포트","제네바 프리 포트가 이번엔 테러 조직의 '돈줄'로 지목되었다."
"프리 플로팅","ㅎ그룹이 차고지 제한이 없는 프리 플로팅 방식 서비스를 실시한다."
"프리미엄","입주할 집이 없으니 분양권 프리미엄이 치솟고 있다."
"프리뷰","‘어벤져스2’ 프리뷰 영상에 ‘새빛섬’이 포착되었다."
"프리스타일 스키","동계올림픽 프리스타일 스키에 금메달 10개가 걸렸다."
"프리캐스트","프리캐스트를 통해 일이 수월해졌다."
"프리퀄","심바 아빠의 '무파사' 이야기를 담은 '라이온킹' 프리퀄이 나온다."
"프리패브","프리패브 공법 주택의 저변이 확대되기 시작하면 국내 제도 개선의 속도도 빨라질 것이다."
"프린징","움직일 때마다 흩날리는 프린징 장식이 매력적이다."
"프린트 셔츠","화려한 프린트 셔츠가 시선을 끈다."
"프린팅","3차원 프린팅으로 재현된 만월대 현장 유물을 감상한다."
"플라모델","휴가철 집콕족을 위한 한정판 플라모델을 출시한다."
"플라세보 효과","스포츠 음료가 운동 능력에 도움이 된다고 느끼는 것은 ‘플라세보 효과'다."
"플라스틱 어택","유럽에 이어 한국도 '플라스틱 어택'에 동참한다."
"플라워 숍","플라워 숍 창업법을 소개하고 있다."
"플라잉","무대 플라잉 기술은 이미 3000년 전 고대 그리스 연극에서도 나왔다."
"플라잉 모빌리티","개인용 플라잉 모빌리티를 개발하려는 회사가 늘고 있다."
"플라잉 시스템","전동 플라잉 시스템 등을 이용해 다양한 무대 연출을 할 수 있다."
"플라잉 체인지","플라잉 체인지를 할 때 말의 균형을 잡는 것이 중요하다."
"플라잉 카","자율 주행을 넘어 '플라잉 카'의 시대가 왔다."
"플라자","플라자 에스파냐 앞에서 사진을 찍었다."
"플래그","장식 플래그와 커피가 캠핑장에 낭만을 더한다."
"플래그십","달라진 플래그십, 승부는 지금부터다."
"플래그십 마케팅","대표 상품의 긍정적 이미지를 내세우는 플래그십 마케팅이 인기다."
"플래그십 스토어","고객 맞춤형 플래그십 스토어가 대세다."
"플래너","복지 서비스를 발굴할 플래너를 양성한다."
"플래드","큼직한 플래드 무늬가 돋보이는 흰색 셔츠를 입었다."
"플래시","검찰에 출두하는 것만으로도 플래시를 받고 정치적 타격을 받는다."
"플래시 몹","시민과 함께하는 청소년 플래시 몹 행사가 열렸다."
"플래카드","미국 대사관에 “흑인 생명도 소중하다”라는 대형 플래카드가 걸렸다."
"플랜","아이 성장 단계에 맞는 독서 플랜을 짜야 한다."
"플랜 비","노후 계획에도 플랜 비가 필요하다."
"플랜테리어","플랜테리어로 꾸민 집이 아늑하다."
"플랜트","양국이 해양 플랜트 서비스 산업에 관해 협력하기로 했다."
"플랜트 수출","농업 플랜트 수출이 효자가 될 것이다."
"플랩북","놀이와 학습이 하나 된 흥미진진한 플랩북을 출간한다."
"플랫 슈즈","플랫 슈즈를 자주 신으면 족저근막염이 생길 수 있다."
"플랫폼","플랫폼 경쟁력이 유통 기업의 성패를 가른다."
"플랫폼 노동","특수 고용과 플랫폼 노동 등 새로운 고용 형태가 급증했다."
"플랫폼 노동자","많은 청년 플랫폼 노동자가 사회보장제도의 사각지대에 있다."
"플러그 앤드 플레이","플러그 앤드 플레이 방식에는 별도의 네트워크 설정이 필요 없다."
"플러그인","보안 플러그인 남겨 두면 공인인증서 폐지 정책이 무의미해진다."
"플러스","코로나 사태 이후 7개월 만에 수출이 플러스 전환되었다."
"플러스 알파","추경 규모는 12조 원에 플러스 알파라고 보면 된다."
"플러스 옵션","차량에 플러스 옵션제를 선택하면 시간과 비용이 더 많이 든다."
"플러팅","이날 셋은 '플러팅을 당하고 싶은 연예인'을 주제로 대화를 나눴다. 플러팅은 호감을 가지고 이성을 유혹하려고 하는 행동을 뜻한다."
"플레이 그라운드","넓은 야외 플레이 그라운드에서 개들이 자유롭게 뛰어놀 수 있다"
"플레이 메이커","팀 승리를 이끄는 플레이 메이커가 되고 싶다."
"플레이리스트","인공 지능 기술 기반으로 나만의 취향을 담은 플레이리스트를 만든다."
"플레이어","플레이어의 의도와 다르게 공이 나가면 점수가 나쁠 수밖에 없다."
"플레이팅","음식 맛의 절반은 플레이팅이 좌우한다."
"플레잉 코치","전 국가대표 선수를 플레잉 코치로 선임했다."
"플렉시블","30만번 접고 휘어도 그대로인 플렉시블 전자부품 제조 기술을 개발 중이다."
"플렉시블 디스플레이","노트북 플렉시블 디스플레이 경쟁이 치열하다."
"플로깅","조깅하며 쓰레기 줍는 플로깅이 유행하고 있다."
"플로리스트","플로리스트를 초청하여 진로 직업 체험 활동 프로그램을 운영했다."
"플로어","체육관 플로어에 돗자리를 깔고 자유롭게 영화를 볼 수 있다."
"플로팅 광고","원치 않는 플로팅 광고에 대하여 방통위가 첫 실태 점검에 나선다."
"플롯","플롯을 알면 드라마가 보인다."
"플리 마켓","플리 마켓에서 물건도 사고, 기부도 한다."
"플리 바기닝","마약 관련 제보를 하면 형을 감량해주는 플리 바기닝이 허용된다."
"플립 러닝","온라인 학습 후 대면으로 토론하는 플립 러닝이 교육의 대세로 떠올랐다."
"피날레","뮤지컬 '광주'의 피날레 곡은 님을 위한 행진곡이다."
"피드백","재난·응급 상황별 대처법을 비대면으로 질문하고 피드백받는다."
"피버팅","최근 기업들은 조직 문화 피버팅으로 직원 만족도를 높이려 한다."
"피싱","국세청이 국세환급금 사칭 피싱에 주의할 것을 당부하였다."
"피엘 상품","피엘 상품 ‘품질 논쟁’ 이 재점화되었다."
"피치","한국 음악 영화 성장의 피치를 올린다."
"피케팅","세월호 참사 진상 규명을 촉구하는 피케팅이 열렸다."
"피켓","집회 참석자들이 손 피켓을 들고 있다."
"피크","설 다음 날이 귀경길 피크일 것으로 예상된다."
"피크 기간","휴가철 피크 기간에 엄청난 인파가 제주도에 몰렸다."
"피크 아웃","곧 물가가 피크 아웃 시점에 도달할 것이다."
"피크 타임","배달 피크 타임때는 주문량이 급증하여 시간이 오래 걸린다."
"피크닉","한강에서 낭만 피크닉을 즐길 수 있다."
"피킹","작업자가 로봇과 협력해 상품 피킹 및 이동 작업을 수행할 수 있다."
"피트니스","새 청사는 민원실, 피트니스실, 각종 강의실 등을 갖추고 있다."
"피트니스 센터","청년 주택 단지에 작은 도서관, 피트니스 센터, 어린이집을 함께 만든다."
"피트니스 웨어","기능성을 앞세운 고강도 피트니스 웨어가 뜬다."
"피팅","올해 시급 높은 알바 1위는 '방청객', 2위는 ‘피팅 모델’이다."
"피팅 룸","휠체어가 입장할 수 있는 넓은 피팅 룸이 부족하다."
"픽셀","한국이 세계에서 가장 작은 픽셀을 개발했다."
"픽션","픽션은 현실보다 깊은 진실을 담고 있다."
"픽업","중국인 유학생 픽업 서비스로 지역 사회 전염병 확산을 막는다."
"픽처","전체 픽처를 설명하는 것이 의미가 있다."
"픽토그램","사회 복지 시설에 비상구 안전 픽토그램을 설치한다."
"핀 포인트","ㅇㅇㅇ당대표 후보는 전당대회 선거기간 막판까지도 ㄱ 후보에 대한 핀 포인트 공격을 멈추지 않았다."
"핀셋","해외로 떠나는 기업에는 핀셋 지원이 필요하다."
"핀치","미국의 노골적인 견제로 중국의 반도체가 핀치에 몰렸다."
"핀테크","주식 투자 열풍에 초보자를 위한 핀테크가 인기를 끌고 있다."
"핀트","긴박한 상황에 사진을 찍으면 핀트가 맞지 않게 된다."
"핀플루언서","핀플루언서의 인기 이유는 무료로 손쉽게 금융 정보에 접근할 수 있다는 점이다."
"필드","아쉬운 경기 결과에 선수단은 한참 동안 필드를 떠나지 못했다."
"필드 룩","골프장에서 시선을 집중시키는 '여름 필드 룩' 연출법을 소개한다."
"필드 테스트","현재 개발한 정보무늬 규격 보안·안정성 등을 점검하는 막바지 필드 테스트에 들어갔다."
"필로티","필로티 방식으로 지어진 건물 1·2층에도 방화 구획 설치가 의무화된다."
"필로티 방식","필로티 방식으로 지어진 건물 1·2층에도 방화 구획 설치가 의무화된다."
"필리버스터","본회의 의결을 막기 위한 필리버스터가 계속됐다."
"필모그래피","배우들은 새로운 필모그래피를 하나하나 채워 나간다."
"필터 버블","인공 지능에 의한 필터 버블에 이용자들은 반감을 드러냈다."
"필터링","마스크 미세먼지 필터링을 2배 높이는 기술이 개발됐다."
"핑거 페인팅","한국의 핑거 페인팅 작품이 세계 미술인들의 눈길을 끌고 있다."
"핑거 푸드","한식 핑거 푸드에 눈까지 즐거워진다."
"핑크","여성 폭력 근절의 날을 맞아 사람들이 핑크색 리본을 달고 나왔다."
"핑퐁 게임","카드 정보 유출에 수사 기관과 금융 당국이 서로 핑퐁 게임 중이다."
"하드 스킬","싱가포르 고용주 중 65%가 채용시 하드 스킬을 중시한다."
"하드 트레이닝","아침 9시부터 밤 10시까지 쉴 새 없는 하드 트레이닝을 했다."
"하드 파워","정부 경제 정책은 이제 하드 파워 중심에서 탈피해야 한다."
"하드보일드","여름을 강타할 진짜 하드보일드 문학이 온다."
"하모니","아름다운 하모니로 위로를 전한다."
"하우스 드레스","꽃무늬 하우스 드레스가 눈에 띈다."
"하우스 웨딩","하반기 결혼식장을 잡기 어려워지면서 하우스 웨딩이 인기를 끌고 있다."
"하우스 웨어","편안한 하우스 웨어를 선보이며 친근한 면모를 드러냈다."
"하우스 푸어","빚 내서 집은 샀지만 이자를 갚느라 허덕대는 하우스 푸어가 늘고 있다."
"하우스키퍼","하우스키퍼 양성 교육으로 호텔 직원들의 전문성을 높였다."
"하우스키핑","쾌적한 주거 공간을 위해 하우스키핑 서비스를 제공한다."
"하우징","하반기 출시 예정인 카메라 하우징 사진이 포착됐다."
"하우징 페어","하우징 페어에서 완벽한 ‘꿈의 주방’을 선보인다."
"하이 엔드","가치 소비 확산에 하이 엔드급 제품들이 인기를 끈다."
"하이 엔드 레지던스","부산 해운대에 조성되는 하이 엔드 레지던스에 관심이 쏟아진다."
"하이드롤릭","장마 피해를 예방하기 위해 하이드롤릭 차수막을 설치했다."
"하이라이트","선수들은 올림픽 하이라이트인 개회식을 놓치고 싶지 않다고 말한다."
"하이레벨","수능 영어보다 하이레벨 영어를 가르친다."
"하이브리드","정기 공채와 상시 채용을 병행하는 하이브리드 방식으로 채용 절벽을 뚫는다."
"하이브리드 카","하이브리드 카가 미래차의 표준이 될 것이다."
"하이웨이","서울시가 ‘자전거 하이웨이’ 를 구축했다."
"하이킹","코로나가 끝나면 꼭 가보고 싶은 하이킹 명소로 꼽힌다."
"하이테크","하이테크 의약·항공 우주 등 산업의 다변화가 필요하다."
"하이틴","하이틴 영화 최초로 동양인 여자 주인공을 내세운 작품이다."
"하이파이브","이젠 영상통화로 하이파이브 한다."
"하이패션","하이패션도 소화하는 남다른 패션 감각을 소유했다."
"하이퍼 로컬","동네, 단지 등 좁은 지역을 대상으로 하는 하이퍼 로컬 서비스를 강화한다."
"하이퍼 카","서울에서 부산까지 50분만에 도착하는 하이퍼 카가 등장했다."
"하이픈","영어에서 하이픈 등 구두점 없어진다."
"하프 오픈 톱","순창군이 3월부터 하프 오픈 톱 ‘풍경버스’를 본격 운영한다."
"한반도 평화 프로세스","한반도 평화 프로세스를 흔들림 없이 추진하겠다."
"할루시네이션","훈련 정보에 차이나 편향이 있는 경우 인공 지능이 특정 주제에 대해 포괄적이거나 균형 잡힌 이해를 하지 못하여 할루시네이션을 유발시킨다."
"할리우드 액션","프로농구가 '할리우드 액션' 영상 공개를 검토하고 있다."
"핫 머니","중국 채권 시장에 외국 '핫 머니' 유입이 급증하였다."
"핫 스폿","한국 남해는 세계적 해양 생물 핫 스폿이다."
"핫 토픽","올해 미국심장학회 핫 토픽은 심혈관약 임상이다."
"핫 팩","핫 팩을 이용할 때는 저온 화상에 주의해야 한다."
"핫 플레이스","올 여름휴가는 조선 선비들의 핫 플레이스 문경 ‘선유구곡’으로 떠나요."
"핫라인","경기도일자리재단이 '일하는 여성 고충상담 핫라인'을 운영한다."
"핫이슈","아르바이트생과 고용주의 올해 핫이슈는 최저 임금이다."
"핫한","창원의 핫한 수소 산업에 관심이 폭발하고 있다."
"해시태그","사회 운동과 유행 사이, 해시태그가 세상을 바꾼다."
"해커톤","규제 개혁 해커톤에서 원격 진료에 관해 논의한다."
"해커톤 대회","생산기술연구원에서 '산업융합 아이디어 사업화 해커톤 대회' 를 개최한다."
"해프닝","행사 준비 과정에서 예상치 못한 해프닝도 있었다."
"해피 엔딩","드라마는 두 주인공이 해피 엔딩을 맞으며 막을 내렸다."
"해피 콜","경기도 소방 구조 활동 해피 콜 결과, 100점 만점에 98.63점을 기록했다."
"핸드 드립","원두 함유량을 늘려 핸드 드립 커피와 같은 깊은 풍미를 즐길 수 있다."
"핸드 브레이크","핸드 브레이크를 깜빡해 차가 한 밤 중 강으로 돌진했다."
"핸드 블렌더","수동 거품기보다는 핸드 블렌더가 더 편하다."
"핸드 시그널","족구 심판의 기량 향상을 위해 핸드 시그널 대회에서 실전 경험을 한다."
"핸드 프린팅","배우들이 핸드 프린팅을 남겼다."
"핸드레일","소외 계층에 가정용 핸드레일을 설치해 주었다."
"핸드메이드","국산 핸드메이드 마스크로 건강과 멋 모두 챙긴다."
"핸드북","건설 밧줄 작업 안전 핸드북 제작·배포 등 안전한 작업 환경을 조성하는데 작은 밀 알 역할을 다할 것이다."
"핸들","차량을 불법 개조해 핸들을 잡지 않고 운전한 일당이 검거되었다."
"핸들러","핸들러와 수색견이 사고 실종자를 찾아 나선다."
"핸들링","핸들링 반칙 역시 주심의 주관적 판단으로 종종 논란이 생긴다."
"행 태그","제품에 부착하는 행 태그에도 재활용 종이를 사용한다."
"행거","2단 행거를 이용하면 많은 옷을 정리할 수 있다."
"허니문","해외 부럽지 않은 국내 호텔로 허니문을 떠난다."
"허들","신의료 기술 평가는 규제 허들이 아니라 오히려 돕는 장치다."
"허브","한국이 동북아 천연가스의 허브가 되었다."
"허브 공항","영남권 전역을 배후로 하는 물류 허브 공항 역할도 기대된다."
"허브 사이트","알뜰폰 업계가 허브 사이트를 공개했다."
"허브 항","동해안권 국제 물류 허브 항으로 육성한다."
"헤게모니","치열한 코로나 백신 경쟁에서 각국이 헤게모니를 쥐려 경쟁한다."
"헤드 랜턴","일제강점기 징용의 비극을 보여주는 군함도 헤드 랜턴 전시가 열린다."
"헤드 헌팅","외국계 기업이 80% 급감하며 헤드 헌팅 시장이 말라붙었다."
"헤드라이너","헤드라이너가 주요 무대 마지막을 장식한다."
"헤드라인","'기생충'의 수상이 외신 헤드라인을 장식했다."
"헤드헌터","헤드헌터를 통해 고용을 약속했다가 채용하지 않으면 부당 해고가 된다."
"헤로인","그녀는 1980~1990년대 충무로를 사로잡은 헤로인이다."
"헤리티지","ㄹ기업이 50년 헤리티지를 계승해 100년 기업을 세운다."
"헤비 업로더","음란물 파일 10만 개 올린 '헤비 업로더'에 징역형이 선고되었다."
"헤비 유저","보험 헤비 유저는 중년 여성으로 월평균 130만 원을 내는 것으로 나타났다."
"헤어롤","대체 왜 밖에서 앞머리 헤어롤을 말고 있냐고요?"
"헤어밴드","찰랑이는 머릿결이 헤어밴드 패션에 잘 어울린다."
"헤이트 스피치","헤이트 스피치를 법의 심판대에 세워라."
"헬멧","근로자 작업특성에 따라 헬멧에 부착 가능한 휴식알리미 스티커 등 온열질환 예방용품을 지급하고 있다."
"헬스 테크","헬스 테크를 위한 7가지 생활 습관을 소개한다."
"헬스 투어","카자흐스탄 의료 관광객들이 경북 헬스 투어에 나섰다."
"헬스케어","고객 맞춤형 헬스케어 서비스를 제공한다."
"헬시 푸드","건강을 생각하는 소비자를 겨냥한 헬시 푸드 제품이 쏟아진다."
"헬시 플레저","아이스크림 시장에도‘헬시 플레저(Healthy Pleasure)’트렌드가 확산하고 있다. 건강에 대한 관심이 높아지면서 ‘제로’ 열풍에 이어 ‘식물성’ 아이스크림이 잇따라 출시하면서다."
"헬퍼","부동산 중개 수수료를 할인해주는 주거 복지 헬퍼 부동산이 있다."
"헬프 데스크","정부는 기업을 지원하는 헬프 데스크를 운영하고 있다."
"혁신 밸리","미래자동차 산업 육성을 본격 추진하기 위해 기술 혁신 밸리를 조성한다."
"혁신 파크","캠퍼스 혁신 파크에 대학생을 위한 행복 주택을 공급한다."
"혈당 스파이크","수박, 참외, 복숭아, 포도 등 여름철 제철 과일은 무기질과 비타민 보충에 있어서 중요한 식품이다. 하지만 너무 많은 양을 섭취하면 혈당이 높아질 우려가 있다. 특히 수박은 가장 당지수가 높아 혈당 스파이크를 일으킬 수 있기에 주의가 필요하다."
"협업 툴","한 장의 문서에서 일정, 할 일, 파일, 의사결정까지 업무의 모든 과정을 끝낼 수 있는 문서기반 협업 툴이다."
"호러 무비","한여름 호러 무비처럼 서늘한 연장 승부였다."
"호스트","주제 선정부터 회의 진행까지 시민 호스트가 자율적으로 운영하였다."
"호스피스","국립암센터에서 가정형 호스피스 서비스를 본격 시행한다."
"호스피탈리티","○○ 숙소 예약 서비스는 ○○의 방대한 데이터를 기반으로 호스피탈리티 정보 기술 기업들과의 제휴를 통해 제공한다."
"호이스트","호이스트로 부상자를 올리다 사고로 소방 헬기가 추락했다."
"호텔리어","호텔경영학과 학생들, 현장감 높은 수업으로 호텔리어 꿈을 이루다."
"혼코노미","생활용품부터 먹거리까지 혼코노미 맞춤 상품들이 쏟아진다."
"홀더","곡성군, 지역 문화재 홍보 위한 ‘홀더’ 제작한다."
"홀로그래피","홀로그래피·인공 지능으로 질환을 연구한다."
"홀로그램","위조 지폐로 의심된다면 홀로그램이나 숨은 그림을 확인해야 한다."
"홀로코스트","홀로코스트를 잊지 않는 것이 우리의 역사적 과제라고 밝혔다."
"홀리데이","홀리데이를 즐기는 다섯 가지 방법을 소개한다."
"홈 가드닝","홈 가드닝은 만성질환 예방과 정신 건강 개선에 도움을 준다."
"홈 디저트","저렴하지만 고급스러운 '홈 디저트' 매출이 증가하고 있다."
"홈 루덴스","편의점에 홈 루덴스를 겨냥한 제품이 많이 늘었다."
"홈 뷰티","집콕족이 늘면서 간편식·홈 뷰티 용품이 불티나게 팔린다."
"홈 시어터","집콕족 늘어나니 홈 시어터가 날개 달린 듯 팔린다."
"홈 케어","찾아가는 치매 안심 홈 케어 사업으로 치매 환자의 삶의 질을 높인다."
"홈 클리닝","치매 어르신 가구에 ‘홈 클리닝’ 자원봉사를 시작한다."
"홈 트레이닝","건강을 지키는 홈 트레이닝 방법을 알려준다."
"홈 팜","집콕하는 어린이들에게 홈 팜 키트로 생태 감수성을 높인다."
"홈 퍼니싱","집콕족을 위한 홈 퍼니싱 수업을 연다."
"홈 헬퍼","여성 장애인을 위한 홈 헬퍼 양성 과정을 열었다."
"홈그라운드","스포츠 경기에서 홈그라운드 이점은 결코 무시할 수 없는 변수다."
"홈리스","주거 지원으로 홈리스 결핵 환자의 치료 성공률을 86%로 높였다."
"홈베이킹","집콕 생활이 계속되자 홈베이킹 인기가 높아졌다."
"홈스쿨","코로나 시대에 '초등학교 홈스쿨 체험 상자'가 인기를 끈다."
"홈스쿨링","학교 보내기 불안해 홈스쿨링하는 가정이 늘었다."
"홈스타일링","집콕 시대에 딱 맞는 홈스타일링 제품들이 인기다."
"홈스테이","홈스테이로 외국 문화를 배운다."
"홈커밍데이","퇴임 교수를 초청해 풍성한 '홈커밍데이'를 만들었다."
"홈코노미","홈코노미 시대에 집에 머무는 시간이 늘면서 가전 수출도 늘어났다."
"홈페이지","지금까지 발간한 자료를 홈페이지에서 열람할 수 있다."
"화이트 노이즈","물소리도 화이트 노이즈 역할을 해 마음이 평온해진다."
"화이트 리스트","일본이 '화이트 리스트'에서 우리나라를 배제했다."
"화이트 바이오","500조 원 규모의 화이트 바이오 시장을 선점해야 한다."
"화이트 와인","신선한 해산물에는 화이트 와인이 잘 어울린다."
"화이트 해커","화상 회의 보안 강화에 화이트 해커를 활용한다."
"화이트보드","필수 사무용품인 화이트보드가 ‘휴대용’으로도 나온다"
"화이트칼라","코로나가 전문직 등 화이트칼라 일자리도 덮쳤다."
